Model,Variant,Dataset,Seed,Best_Val_mAP(%),Best_Epoch,Final_Val_mAP(%),Test_mAP(%),Test_Macro_F1(%),Test_Micro_F1(%),Params(M),Epochs,Batch_Size,LR,Weight_Decay,Optimizer,Scheduler,Threshold,Git_Commit,GPU,Peak_GPU_Memory(GiB),Train_Wall_Time(h),Test_Time,Notes
Swin-T Baseline,global_pool,BigEarthNet-19,42,78.8,,75.8,70.9,64.2,76.6,27.535501,30,32,3e-4,1e-4,AdamW,CosineAnnealingLR,0.5,legacy,待确认,待确认,待确认,00:02:25,"Historical formal baseline; best epoch, GPU, peak memory, wall time and cost pending confirmation"
GAViT v2,historical uncorrected kNN,BigEarthNet-19,42,,,,70.4,,,31.366926,30,32,3e-4,1e-4,AdamW,CosineAnnealingLR,0.5,pre-649e7c1,待确认,待确认,待确认,,"Historical result before selected_neighbor-to-query direction correction; secondary metrics pending confirmation"
GAViT v2,corrected kNN K16 attentive_spatial k5 token_feedback,BigEarthNet-19,42,78.5732,17,76.7,70.6,65.4,76.6,31.366926,30,32,3e-4,1e-4,AdamW,CosineAnnealingLR,0.5,8cb8563,NVIDIA GeForce RTX 4090,3.65,6.49,00:03:16,"Formal corrected-kNN control; best checkpoint evaluated; training cost pending confirmation"
GAViT v2,sparse-hybrid K16 attentive_spatial 4n top2 token_feedback,BigEarthNet-19,42,79.2087,13,76.9,72.0,66.0,76.7,31.366926,30,32,3e-4,1e-4,AdamW,CosineAnnealingLR,0.5,cd39be9,NVIDIA GeForce RTX 4090,3.65,6.64,00:11:05.55,"Formal sparse-hybrid seed42; best checkpoint evaluated on RTX 3060; test peak CUDA allocated 0.60 GiB; test throughput 5.91 batch/s; single-seed result; training cost pending confirmation"
Swin-T Baseline,global_pool,BigEarthNet-19,43,78.3459,6,75.8,71.1,64.1,76.0,27.535501,30,32,3e-4,1e-4,AdamW,CosineAnnealingLR,0.5,bb9f1cf,NVIDIA GeForce RTX 4090,3.56,5.22,00:03:54.20,"Formal paired seed43 baseline; final Val macro-F1 71.1%; best checkpoint hash verified; retry1 identity"
GAViT v2,sparse-hybrid K16 attentive_spatial 4n top2 token_feedback,BigEarthNet-19,43,78.4728,8,,71.7,65.7,76.8,31.366926,21,32,3e-4,1e-4,AdamW,CosineAnnealingLR,0.5,bb9f1cf,"NVIDIA GeForce RTX 4090 (train); NVIDIA GeForce RTX 3060 (test)",待确认,待确认,待确认,"Formal paired seed43 result using epoch-8 best checkpoint; planned 30 epochs but stopped after epoch 21 and not resumed; checkpoint hash verified; successful test log retry2; test timing and per-class AP pending"
GAViT v2,sparse-hybrid K16 attentive_spatial 4n top2 token_feedback,BigEarthNet-19,44,77.9,19,76.9,70.2,65.2,77.1,31.366926,26,32,3e-4,1e-4,AdamW,CosineAnnealingLR,0.5,36345f7,NVIDIA GeForce RTX 3080,4.2,待确认,00:05:20,"Formal paired seed44 GAViT; planned 30 epochs, user early-stopped after epoch 26 (best epoch 19, Val macro-F1 72.3%); post-peak decline replicated in user second-server rerun; test 3745 batches at 11.69 it/s, test_exit=0; per-class AP in test.log; pin_memory OOM hotfix commit; wall time and cost pending log audit"
